Sleep,,,,,,,,
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2019-09-04 10:20PM,2019-09-05 6:47AM,442,65,36,507,85,289,68
2019-09-04 2:15PM,2019-09-04 4:24PM,123,6,0,129,N/A,N/A,N/A
2019-09-03 11:14PM,2019-09-04 7:33AM,430,69,27,499,85,297,48
2019-09-02 9:45PM,2019-09-03 6:29AM,471,52,37,523,101,263,107
2019-09-01 9:55PM,2019-09-02 6:11AM,400,96,27,496,55,244,101
2019-08-31 10:02PM,2019-09-01 7:40AM,484,94,38,578,73,287,124
2019-08-30 9:17PM,2019-08-31 7:49AM,564,68,40,632,93,359,112
2019-08-29 11:29PM,2019-08-30 7:25AM,399,77,24,476,50,273,76
2019-08-28 9:33PM,2019-08-29 6:26AM,483,50,34,533,128,244,111
2019-08-27 10:14PM,2019-08-28 6:45AM,454,57,28,511,96,269,89
2019-08-26 11:00PM,2019-08-27 6:14AM,380,54,23,434,59,236,85
2019-08-25 10:04PM,2019-08-26 6:45AM,457,64,38,521,69,306,82
2019-08-24 10:36PM,2019-08-25 8:09AM,561,12,0,573,N/A,N/A,N/A
2019-08-23 10:05PM,2019-08-24 9:36AM,624,67,43,691,129,388,107
2019-08-22 10:56PM,2019-08-23 7:15AM,434,65,27,499,115,201,118
2019-08-21 8:44PM,2019-08-22 6:25AM,495,86,34,581,86,276,133
2019-08-20 8:58PM,2019-08-21 6:17AM,499,60,38,559,99,295,105
2019-08-19 10:20PM,2019-08-20 6:32AM,415,77,29,492,77,244,94
2019-08-18 9:51PM,2019-08-19 6:21AM,446,64,37,510,89,286,71
2019-08-17 8:01PM,2019-08-18 8:52AM,655,116,52,771,132,392,131
2019-08-17 12:42AM,2019-08-17 8:07AM,376,69,27,445,53,220,103
2019-08-15 10:20PM,2019-08-16 6:59AM,449,70,36,519,80,267,102
2019-08-13 10:42PM,2019-08-14 8:03AM,489,72,34,561,95,280,114
2019-08-12 8:42PM,2019-08-13 9:06AM,658,86,42,744,190,319,149
2019-08-11 10:04PM,2019-08-12 5:30AM,356,89,19,445,58,230,68
2019-08-10 9:52PM,2019-08-11 7:52AM,521,79,32,600,116,332,73
2019-08-08 9:25PM,2019-08-09 4:17AM,394,18,2,412,N/A,N/A,N/A
2019-08-07 8:41PM,2019-08-08 6:59AM,530,88,47,618,112,305,113
2019-08-06 8:28PM,2019-08-07 6:41AM,532,81,39,613,145,271,116
2019-08-05 9:48PM,2019-08-06 6:30AM,442,80,36,522,76,282,84
2019-08-04 9:18PM,2019-08-05 6:22AM,464,79,37,543,129,227,108
2019-08-02 11:03PM,2019-08-03 8:29AM,477,89,27,566,112,238,127
2019-08-01 9:31PM,2019-08-02 6:29AM,477,61,27,538,84,286,107
2019-07-31 9:58PM,2019-08-01 6:15AM,439,57,35,496,98,223,118
2019-07-30 9:19PM,2019-07-31 7:36AM,572,45,38,617,146,333,93
2019-07-29 11:00PM,2019-07-30 5:20AM,338,42,25,380,82,194,62
2019-07-29 3:36PM,2019-07-29 4:57PM,77,4,0,81,N/A,N/A,N/A
2019-07-28 10:43PM,2019-07-29 7:00AM,446,50,30,496,149,181,116
2019-07-27 10:38PM,2019-07-28 8:37AM,530,68,31,598,142,275,113
2019-07-26 10:25PM,2019-07-27 9:07AM,539,102,43,641,97,302,140
2019-07-25 10:04PM,2019-07-26 6:39AM,450,65,38,515,95,234,121
2019-07-23 11:45PM,2019-07-24 9:24AM,483,95,22,578,117,281,85
2019-07-21 10:09PM,2019-07-22 7:23AM,487,66,35,553,100,297,90
2019-07-20 10:11PM,2019-07-21 9:14AM,559,104,35,663,176,284,99
2019-07-18 9:29PM,2019-07-19 7:40AM,548,63,37,611,90,369,89
2019-07-17 10:35PM,2019-07-18 7:43AM,470,78,37,548,94,287,89
2019-07-16 10:17PM,2019-07-17 8:01AM,504,80,34,584,107,290,107
2019-07-15 10:11PM,2019-07-16 7:32AM,472,89,35,561,91,291,90
2019-07-14 10:12PM,2019-07-15 7:03AM,451,80,31,531,101,253,97
2019-07-13 10:31PM,2019-07-14 7:54AM,478,85,31,563,95,293,90
2019-07-12 11:11PM,2019-07-13 7:05AM,423,51,28,474,89,263,71
2019-07-11 9:58PM,2019-07-12 8:23AM,540,85,30,625,114,324,102
2019-07-10 9:43PM,2019-07-11 7:32AM,525,64,31,589,93,322,110
2019-07-09 9:12PM,2019-07-10 7:31AM,536,83,38,619,124,336,76
2019-07-07 10:53PM,2019-07-08 5:42AM,372,36,29,408,84,245,43
